auc_score,case_id,criterion,family,final_loss,final_minus_wstar,late_score,lr,method,runs,score,wstar_loss,wstar_status
1.7890469390814343,soft_copy_05,late,copy_am,5.633796352291667,0.44621441725496336,5.774271034022955,,signgd_ls,1,5.774271034022955,5.187581935036704,approximate
1.7954498957066067,soft_copy_05,late,copy_am,5.597590210594327,0.4100082755576233,5.803920193094304,237.13737056616557,gd_const,1,5.803920193094304,5.187581935036704,approximate
1.7970998260354893,soft_copy_05,late,copy_am,5.742855207042162,0.5552732720054578,5.811274549451629,10.0,ngd_const,1,5.811274549451629,5.187581935036704,approximate
1.7083950697810328,soft_copy_05,late,copy_am,5.274195101951777,0.08661316691507359,5.30738280735477,0.5623413251903491,muon_const,1,5.30738280735477,5.187581935036704,approximate
1.6602900469434165,soft_copy_05,late,copy_am,5.173117819975713,-0.014464115060991212,5.175561200928189,0.03162277660168379,h0_const,1,5.175561200928189,5.187581935036704,approximate
1.8017439076642858,soft_copy_05,late,copy_am,5.706801465817758,0.5192195307810543,5.796370894663611,0.0133352143216,signgd_const,1,5.796370894663611,5.187581935036704,approximate
2.0577436430267446,rewired,auc,null_no_association,7.741785950428903,0.03813888518388442,7.765689330475255,,gd_ls,1,2.0577436430267446,7.703647065245018,approximate
2.0615619487403163,rewired,auc,null_no_association,7.776490739780878,0.07284367453585983,7.803395336990603,,muon_ls,1,2.0615619487403163,7.703647065245018,approximate
2.042610544338118,rewired,auc,null_no_association,7.701825188991492,-0.0018218762535262556,7.701825182460378,,h0_ls,1,2.042610544338118,7.703647065245018,approximate
2.058194082007753,rewired,auc,null_no_association,7.756051869182951,0.05240480393793234,7.778137643477133,,signgd_ls,1,2.058194082007753,7.703647065245018,approximate
2.0562884569126294,rewired,auc,null_no_association,7.733065953260679,0.029418888015660727,7.75685631962879,421.6965034285823,gd_const,1,2.0562884569126294,7.703647065245018,approximate
2.0562192058843025,rewired,auc,null_no_association,7.734510184743252,0.030863119498233615,7.7649846281457044,7.498942093324558,ngd_const,1,2.0562192058843025,7.703647065245018,approximate
2.0523170326405498,rewired,auc,null_no_association,7.739892716281324,0.03624565103630584,7.736380842413379,4.216965034285822,muon_const,1,2.0523170326405498,7.703647065245018,approximate
2.0432320022804698,rewired,auc,null_no_association,7.7018251728171245,-0.0018218924278938786,7.70182521200742,0.1,h0_const,1,2.0432320022804698,7.703647065245018,approximate
2.060099676836674,rewired,auc,null_no_association,7.824075022505478,0.12042795726045963,7.811789121958784,0.0562341325191,signgd_const,1,2.060099676836674,7.703647065245018,approximate
2.0577436430267446,rewired,late,null_no_association,7.741785950428903,0.03813888518388442,7.765689330475255,,gd_ls,1,7.765689330475255,7.703647065245018,approximate
2.0615619487403163,rewired,late,null_no_association,7.776490739780878,0.07284367453585983,7.803395336990603,,muon_ls,1,7.803395336990603,7.703647065245018,approximate
2.042610544338118,rewired,late,null_no_association,7.701825188991492,-0.0018218762535262556,7.701825182460378,,h0_ls,1,7.701825182460378,7.703647065245018,approximate
2.058194082007753,rewired,late,null_no_association,7.756051869182951,0.05240480393793234,7.778137643477133,,signgd_ls,1,7.778137643477133,7.703647065245018,approximate
2.0562884569126294,rewired,late,null_no_association,7.733065953260679,0.029418888015660727,7.75685631962879,421.6965034285823,gd_const,1,7.75685631962879,7.703647065245018,approximate
2.0570385986165967,rewired,late,null_no_association,7.733767536163552,0.03012047091853365,7.758264035319561,4.216965034285822,ngd_const,1,7.758264035319561,7.703647065245018,approximate
2.055623388338273,rewired,late,null_no_association,7.709529570484507,0.005882505239488189,7.714688700811718,1.778279410038923,muon_const,1,7.714688700811718,7.703647065245018,approximate
2.0432320022804698,rewired,late,null_no_association,7.7018251728171245,-0.0018218924278938786,7.70182521200742,0.1,h0_const,1,7.70182521200742,7.703647065245018,approximate
2.0626208237718258,rewired,late,null_no_association,7.774109193716674,0.07046212847165556,7.7873904224953,0.0133352143216,signgd_const,1,7.7873904224953,7.703647065245018,approximate
2.0594372299768158,independent,auc,null_no_association,7.761915362155557,0.029280517158331243,7.782528500820876,,gd_ls,1,2.0594372299768158,7.732634844997226,approximate
2.064779557867333,independent,auc,null_no_association,7.804778682075568,0.07214383707834227,7.831242150074692,,muon_ls,1,2.064779557867333,7.732634844997226,approximate
2.0463618512081503,independent,auc,null_no_association,7.731269751875521,-0.0013650931217048523,7.731269772044188,,h0_ls,1,2.0463618512081503,7.732634844997226,approximate
2.060585104993125,independent,auc,null_no_association,7.781331094340787,0.048696249343561426,7.800669082025285,,signgd_ls,1,2.060585104993125,7.732634844997226,approximate
2.0582102838200766,independent,auc,null_no_association,7.775243830703544,0.04260898570631788,7.776052836187391,421.6965034285823,gd_const,1,2.0582102838200766,7.732634844997226,approximate
2.0583128514697697,independent,auc,null_no_association,7.759285760899793,0.026650915902567185,7.7861895072084675,7.498942093324558,ngd_const,1,2.0583128514697697,7.732634844997226,approximate
2.056113962212299,independent,auc,null_no_association,7.7655926252025615,0.032957780205335574,7.7677794845961685,4.216965034285822,muon_const,1,2.056113962212299,7.732634844997226,approximate
2.046948578243423,independent,auc,null_no_association,7.731269775899676,-0.0013650690975497426,7.731269793006838,0.1,h0_const,1,2.046948578243423,7.732634844997226,approximate
2.0624293204906596,independent,auc,null_no_association,7.845806548436218,0.11317170343899186,7.830664562457405,0.0562341325191,signgd_const,1,2.0624293204906596,7.732634844997226,approximate
