run,eval_loss,eval_acc,eval_full_vocab_acc,eval_margin,eval_head_acc,eval_tail_acc,step,variant,train_scope,d_model,n_heads,seq_len,n_q,n_k,n_v,m,optimizer,lr,muon_lr,seed,elapsed_s,params_total,params_trainable,prompt_len,train_episodes,train_tokens,eval_episodes_per_eval,random_baseline,spec_group,spec_label,spec_variant,spec_train_scope,spec_optimizer,spec_lr,spec_seed,spec_seq_len,spec_d_model,spec_steps
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.731222152709961,0.158203125,0.150390625,-1.6923538446426392,0.15625,0.15625,1250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,10.503906500060111,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.6046509742736816,0.13671875,0.130859375,-1.7893059253692627,0.171875,0.125,1500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,12.724701200146228,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.6720664501190186,0.140625,0.134765625,-1.9676158428192136,0.125,0.1171875,1750,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,14.61139290011488,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.5041425228118896,0.14453125,0.140625,-1.890577793121338,0.171875,0.1328125,2000,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,16.373090900015086,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.641388177871704,0.130859375,0.12890625,-2.0549240112304688,0.140625,0.1015625,2250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,18.39136440004222,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.450434446334839,0.17578125,0.16796875,-1.8750035762786863,0.1640625,0.1875,2500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,20.515316300094128,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,6.740882396697998,0.125,0.0,-0.2117483913898468,0.140625,0.09375,0,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,0.1359246000647544,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,5.538057327270508,0.111328125,0.080078125,-0.8113725781440735,0.15625,0.078125,250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,2.36001139995642,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,4.709600448608398,0.13671875,0.123046875,-1.0524251461029053,0.140625,0.1484375,500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,4.833954700035974,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,4.327089309692383,0.138671875,0.130859375,-1.4235615730285645,0.1171875,0.1953125,750,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,7.378861099947244,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
